internship_id,title,company,domain,location,duration,stipend,required_skills,description,application_deadline,positions_available,company_size,industry,remote_work,experience_level,created_at,is_active
INT_00281,UI/UX Design Intern,Goldman Sachs,UI/UX Design,Pune,3,55012,"sketch,photoshop","Design intuitive user experiences for Goldman Sachs's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,2,startup,Non-profit,hybrid,intermediate,2024-10-16 10:37:14.060270,True
INT_00282,DevOps Intern,Wipro,DevOps,Indore,6,31121,"python,docker,aws","Learn cloud infrastructure and deployment automation at Wipro. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,24,large,Media & Entertainment,no,entry,2025-08-05 02:20:17.648920,True
INT_00283,Graphic Design Intern,Apple,Graphic Design,Bangalore,6,15632,"adobe xd,sketch",Exciting internship opportunity at Apple in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,19,large,Manufacturing,no,intermediate,2024-11-02 15:38:32.785486,True
INT_00284,Machine Learning Intern,Network18,Machine Learning,Nashik,6,24153,"sql,data science,python",Exciting internship opportunity at Network18 in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,Non-profit,no,entry,2025-07-18 07:45:07.132258,True
INT_00285,Content Writing Intern,Unacademy,Content Writing,Patna,4,58348,"content writing,social media",Exciting internship opportunity at Unacademy in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,13,large,Manufacturing,no,entry,2025-05-05 14:46:39.782832,True
INT_00286,Human Resources Intern,Razorpay,Human Resources,Delhi,6,27618,"redis,docker,react",Exciting internship opportunity at Razorpay in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,2,mid,Non-profit,hybrid,intermediate,2024-10-01 02:19:59.361133,True
INT_00287,Content Writing Intern,SBI,Content Writing,Hyderabad,3,56161,"digital marketing,seo",Exciting internship opportunity at SBI in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,18,large,Finance,no,entry,2025-08-09 20:03:08.874427,True
INT_00288,Operations Intern,Airbnb,Operations,Lucknow,6,19943,"web development,react,ui/ux design",Exciting internship opportunity at Airbnb in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Real Estate,yes,entry,2025-06-06 17:23:23.331541,False
INT_00289,Software Development Intern,Amazon,Software Development,Ghaziabad,3,59805,"sql,python,java",Join Amazon as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,8,large,Telecommunications,yes,intermediate,2024-10-11 02:00:54.142810,True
INT_00290,Graphic Design Intern,Tech Mahindra,Graphic Design,Chennai,6,24533,"figma,adobe xd",Exciting internship opportunity at Tech Mahindra in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,9,large,Consulting,yes,entry,2024-11-04 20:23:59.988560,True
INT_00291,Operations Intern,Zomato,Operations,Ludhiana,3,53620,"penetration testing,devops,deep learning",Exciting internship opportunity at Zomato in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Automotive,no,intermediate,2025-09-12 21:03:52.538983,True
INT_00292,Web Development Intern,Cognizant,Web Development,Nagpur,6,31117,"java,sql","Develop responsive web applications using modern frameworks at Cognizant. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,2,mid,Non-profit,no,advanced,2025-04-21 20:35:03.534409,True
INT_00293,Cybersecurity Intern,Sony,Cybersecurity,Nagpur,6,23741,"flutter,adobe xd,devops",Exciting internship opportunity at Sony in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Food & Beverage,hybrid,entry,2025-06-27 10:37:09.410467,True
INT_00294,Consulting Intern,Times Group,Consulting,Chennai,3,34509,"nodejs,postgresql,docker",Exciting internship opportunity at Times Group in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Manufacturing,yes,entry,2024-10-03 09:39:06.427709,True
INT_00295,Graphic Design Intern,Morgan Stanley,Graphic Design,Bhopal,3,29232,"photoshop,sketch",Exciting internship opportunity at Morgan Stanley in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Sports,hybrid,entry,2025-05-28 00:37:52.295542,False
INT_00296,Software Development Intern,Byju's,Software Development,Lucknow,6,36031,"python,sql,java",Join Byju's as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,13,large,Finance,yes,intermediate,2025-09-23 00:50:55.406603,True
INT_00297,Artificial Intelligence Intern,Bain,Artificial Intelligence,Vadodara,3,38810,"sql,data science,machine learning",Exciting internship opportunity at Bain in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Telecommunications,yes,entry,2025-03-18 04:06:27.382609,True
INT_00298,Graphic Design Intern,Goldman Sachs,Graphic Design,Thane,4,15731,"adobe xd,sketch",Exciting internship opportunity at Goldman Sachs in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Sports,no,intermediate,2025-04-12 07:50:00.951311,True
INT_00299,Machine Learning Intern,Meesho,Machine Learning,Surat,6,44824,"data science,machine learning",Exciting internship opportunity at Meesho in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Non-profit,hybrid,entry,2024-12-22 12:25:45.656272,True
INT_00300,Digital Marketing Intern,Cognizant,Digital Marketing,Thane,2,37980,"google analytics,social media","Drive digital marketing campaigns for Cognizant. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,11,large,Travel & Tourism,yes,entry,2024-10-18 15:04:28.614773,True
INT_00301,Cloud Computing Intern,Meesho,Cloud Computing,Lucknow,3,12228,"linux,jenkins,docker",Exciting internship opportunity at Meesho in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,2,mid,Telecommunications,no,entry,2025-02-27 00:07:27.304902,False
INT_00302,Web Development Intern,Cognizant,Web Development,Kanpur,3,14218,"sql,python","Develop responsive web applications using modern frameworks at Cognizant. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,13,large,Consulting,no,entry,2025-09-23 00:34:07.737455,True
INT_00303,UI/UX Design Intern,Sony,UI/UX Design,Pimpri-Chinchwad,3,38654,"adobe xd,figma","Design intuitive user experiences for Sony's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,9,mid,Retail,hybrid,entry,2025-08-23 10:56:18.786981,True
INT_00304,Operations Intern,Network18,Operations,Vadodara,6,44376,"nodejs,sql",Exciting internship opportunity at Network18 in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Fashion,yes,advanced,2024-11-23 09:51:13.155974,True
INT_00305,Product Management Intern,Sony,Product Management,Indore,4,47931,"social media,statistics",Exciting internship opportunity at Sony in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Finance,yes,entry,2025-04-30 05:40:15.108157,True
INT_00306,Machine Learning Intern,Cognizant,Machine Learning,Patna,8,20810,"statistics,python",Exciting internship opportunity at Cognizant in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,E-commerce,yes,intermediate,2025-02-01 02:12:59.353759,True
INT_00307,Cloud Computing Intern,Salesforce,Cloud Computing,Kolkata,4,45796,"kubernetes,docker,python",Exciting internship opportunity at Salesforce in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Gaming,yes,entry,2024-12-01 10:15:51.848793,False
INT_00308,Product Management Intern,Razorpay,Product Management,Bhopal,3,55184,"ios,investment banking,vue",Exciting internship opportunity at Razorpay in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,18,large,Automotive,no,entry,2024-11-03 06:59:26.002096,True
INT_00309,Cloud Computing Intern,Hexaware,Cloud Computing,Mumbai,2,17744,"linux,docker,aws",Exciting internship opportunity at Hexaware in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,13,large,Technology,yes,advanced,2025-09-05 01:27:18.272602,True
INT_00310,Web Development Intern,IBM,Web Development,Visakhapatnam,6,31148,"sql,java,javascript","Develop responsive web applications using modern frameworks at IBM. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,2,startup,Automotive,yes,entry,2025-02-03 10:46:05.517801,False
INT_00311,Data Science Intern,Times Group,Data Science,Hyderabad,6,40540,"statistics,r,data science","Work with Times Group's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,3,mid,Manufacturing,no,entry,2024-12-09 16:35:45.478104,False
INT_00312,Web Development Intern,Network18,Web Development,Indore,6,30018,"nodejs,react,python","Develop responsive web applications using modern frameworks at Network18. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,9,large,Education,no,entry,2024-11-11 08:07:05.571870,True
INT_00313,Graphic Design Intern,Wipro,Graphic Design,Visakhapatnam,4,48530,"photoshop,figma",Exciting internship opportunity at Wipro in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,23,large,Non-profit,no,entry,2025-01-31 14:06:31.542822,True
INT_00314,Artificial Intelligence Intern,TCS,Artificial Intelligence,Hyderabad,4,24224,"r,statistics,sql",Exciting internship opportunity at TCS in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,23,large,Education,no,entry,2025-05-11 17:16:51.948008,True
INT_00315,Web Development Intern,UpGrad,Web Development,Delhi,4,33736,"javascript,nodejs","Develop responsive web applications using modern frameworks at UpGrad. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,2,startup,Manufacturing,no,entry,2025-03-22 08:20:46.378604,True
INT_00316,Consulting Intern,Hexaware,Consulting,Pimpri-Chinchwad,4,26070,"kubernetes,operations",Exciting internship opportunity at Hexaware in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,20,large,E-commerce,no,advanced,2025-05-09 07:31:52.004109,True
INT_00317,Human Resources Intern,Infosys,Human Resources,Bangalore,6,20858,"trading,statistics",Exciting internship opportunity at Infosys in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,12,large,Non-profit,no,intermediate,2025-03-02 08:37:07.819792,True
INT_00318,UI/UX Design Intern,BCG,UI/UX Design,Delhi,6,39045,"adobe xd,figma","Design intuitive user experiences for BCG's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,1,startup,Technology,yes,advanced,2025-07-23 10:42:34.764531,True
INT_00319,Content Writing Intern,Paytm,Content Writing,Indore,6,46710,"seo,content writing",Exciting internship opportunity at Paytm in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,9,mid,Food & Beverage,yes,entry,2025-05-19 02:13:42.852815,True
INT_00320,DevOps Intern,Jabong,DevOps,Ghaziabad,4,36995,"linux,kubernetes,docker","Learn cloud infrastructure and deployment automation at Jabong. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,4,startup,Healthcare,hybrid,advanced,2024-10-10 06:38:02.124571,True
INT_00321,Cybersecurity Intern,Twitter,Cybersecurity,Kolkata,3,31418,"accounting,content writing",Exciting internship opportunity at Twitter in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,8,large,Automotive,yes,entry,2025-03-30 03:01:07.391854,True
INT_00322,DevOps Intern,LTI,DevOps,Thane,4,40044,"linux,docker","Learn cloud infrastructure and deployment automation at LTI. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,8,mid,Consulting,no,intermediate,2024-10-29 13:04:38.055346,True
INT_00323,Business Analysis Intern,Hexaware,Business Analysis,Indore,2,47566,"nodejs,docker","Analyze business processes and requirements at Hexaware. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,7,mid,Telecommunications,no,intermediate,2025-01-31 01:24:53.621730,True
INT_00324,Artificial Intelligence Intern,Kotak Mahindra Bank,Artificial Intelligence,Bhopal,3,64965,"python,r",Exciting internship opportunity at Kotak Mahindra Bank in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,7,mid,Food & Beverage,no,entry,2025-02-27 05:00:18.692834,True
INT_00325,Cloud Computing Intern,TCS,Cloud Computing,Chennai,3,41581,"docker,kubernetes,linux",Exciting internship opportunity at TCS in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,11,large,Healthcare,no,intermediate,2024-10-20 11:21:32.504191,True
INT_00326,Human Resources Intern,Hexaware,Human Resources,Pune,8,10000,"aws,seo",Exciting internship opportunity at Hexaware in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Food & Beverage,no,entry,2025-02-26 13:44:16.918804,True
INT_00327,Cloud Computing Intern,Kotak Mahindra Bank,Cloud Computing,Ludhiana,6,28854,"python,kubernetes,linux",Exciting internship opportunity at Kotak Mahindra Bank in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Consulting,no,intermediate,2025-03-14 16:54:20.319075,True
INT_00328,Human Resources Intern,Infosys,Human Resources,Delhi,6,41360,"investment banking,gcp,jira",Exciting internship opportunity at Infosys in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,5,large,Education,no,intermediate,2024-11-19 01:33:57.208209,False
INT_00329,DevOps Intern,Accenture,DevOps,Kolkata,6,29816,"kubernetes,linux,jenkins","Learn cloud infrastructure and deployment automation at Accenture. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,2,mid,Media & Entertainment,yes,entry,2025-07-06 06:24:59.858497,True
INT_00330,Digital Marketing Intern,Jabong,Digital Marketing,Nagpur,3,11069,"content writing,social media","Drive digital marketing campaigns for Jabong. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,7,mid,Real Estate,hybrid,advanced,2024-11-05 10:36:37.411197,False
INT_00331,Cybersecurity Intern,Meesho,Cybersecurity,Indore,3,21808,"figma,cybersecurity",Exciting internship opportunity at Meesho in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,6,large,Healthcare,no,entry,2025-08-27 14:35:06.708784,False
INT_00332,Digital Marketing Intern,McKinsey,Digital Marketing,Surat,4,24375,"google analytics,content writing","Drive digital marketing campaigns for McKinsey. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,4,startup,Consulting,hybrid,intermediate,2025-02-06 04:55:07.115780,True
INT_00333,Quality Assurance Intern,KPMG,Quality Assurance,Thane,4,36509,"data science,adobe xd",Exciting internship opportunity at KPMG in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,9,mid,Technology,no,entry,2025-03-02 02:58:33.166295,False
INT_00334,Content Writing Intern,Capgemini,Content Writing,Agra,4,33938,"google analytics,content writing",Exciting internship opportunity at Capgemini in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Automotive,hybrid,advanced,2025-02-01 02:04:59.144453,True
INT_00335,Data Science Intern,Infosys,Data Science,Chennai,4,29144,"python,data science","Work with Infosys's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,15,large,Media & Entertainment,yes,entry,2025-04-03 08:18:54.956318,True
INT_00336,Data Science Intern,Nykaa,Data Science,Thane,4,16158,"data science,sql","Work with Nykaa's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,2,startup,Sports,no,entry,2025-07-11 00:21:45.720017,True
INT_00337,Cybersecurity Intern,HCL Technologies,Cybersecurity,Visakhapatnam,4,20033,"python,ethical hacking,sql",Exciting internship opportunity at HCL Technologies in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,5,large,Healthcare,hybrid,entry,2025-02-05 15:40:09.118581,True
INT_00338,Cybersecurity Intern,Airbnb,Cybersecurity,Surat,3,48868,"agile,aws,redis",Exciting internship opportunity at Airbnb in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Telecommunications,hybrid,intermediate,2025-02-05 04:20:34.651427,False
INT_00339,Digital Marketing Intern,Adobe,Digital Marketing,Nagpur,4,32571,"social media,seo","Drive digital marketing campaigns for Adobe. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,4,mid,Automotive,no,entry,2025-08-13 02:50:13.779830,True
INT_00340,Digital Marketing Intern,Swiggy,Digital Marketing,Bhopal,6,45165,"social media,content writing","Drive digital marketing campaigns for Swiggy. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,7,mid,Automotive,yes,entry,2025-06-25 07:49:50.183555,True
INT_00341,Data Science Intern,Cure.fit,Data Science,Patna,6,34604,"statistics,sql","Work with Cure.fit's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,3,startup,Healthcare,no,intermediate,2025-05-09 23:53:16.660791,False
INT_00342,Operations Intern,Hotstar,Operations,Ghaziabad,8,55042,"ios,penetration testing",Exciting internship opportunity at Hotstar in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,Telecommunications,hybrid,intermediate,2025-05-26 04:42:05.910547,True
INT_00343,Operations Intern,Jabong,Operations,Jaipur,4,21353,"nodejs,ui/ux design",Exciting internship opportunity at Jabong in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,15,large,Finance,no,entry,2025-07-31 06:55:24.247103,True
INT_00344,Software Development Intern,Razorpay,Software Development,Bangalore,4,37107,"javascript,react,sql",Join Razorpay as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,4,mid,Retail,hybrid,entry,2025-06-26 18:50:25.585718,True
INT_00345,Finance Intern,Netflix,Finance,Chennai,8,44493,"operations,project management,javascript",Exciting internship opportunity at Netflix in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,11,large,Telecommunications,no,intermediate,2024-12-25 05:09:55.491926,False
INT_00346,Graphic Design Intern,Urban Company,Graphic Design,Kolkata,6,40371,"figma,illustrator",Exciting internship opportunity at Urban Company in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Technology,no,entry,2025-03-01 19:48:37.332185,True
INT_00347,Data Science Intern,Paytm,Data Science,Pune,6,48276,"python,machine learning","Work with Paytm's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,8,mid,Manufacturing,yes,entry,2025-06-26 00:34:55.308903,True
INT_00348,Business Analysis Intern,Snapdeal,Business Analysis,Kolkata,4,19979,"javascript,operations","Analyze business processes and requirements at Snapdeal. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,1,startup,Food & Beverage,hybrid,entry,2025-05-27 11:59:40.336813,True
INT_00349,Mobile Development Intern,Uber,Mobile Development,Jaipur,6,33070,"java,sql","Create innovative mobile applications for Uber. Work with iOS/Android development, learn mobile UI/UX principles, and contribute to app store releases.",2025-09-23,1,startup,Technology,yes,entry,2025-07-02 07:52:36.412633,True
INT_00350,Web Development Intern,Razorpay,Web Development,Jaipur,4,34614,"java,react,javascript","Develop responsive web applications using modern frameworks at Razorpay. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,1,startup,Gaming,hybrid,entry,2025-02-19 13:26:01.144635,True
INT_00351,UI/UX Design Intern,Jabong,UI/UX Design,Jaipur,4,59826,"illustrator,sketch","Design intuitive user experiences for Jabong's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,4,mid,Non-profit,no,entry,2024-11-11 22:47:14.974919,False
INT_00352,Machine Learning Intern,ICICI Bank,Machine Learning,Surat,6,31399,"machine learning,python,r",Exciting internship opportunity at ICICI Bank in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,2,mid,Telecommunications,no,intermediate,2025-08-07 03:25:32.418010,True
INT_00353,Software Development Intern,Oracle,Software Development,Kolkata,2,58211,"javascript,python",Join Oracle as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,8,mid,Gaming,yes,entry,2025-03-13 12:17:26.299449,True
INT_00354,Cybersecurity Intern,Cognizant,Cybersecurity,Bangalore,6,23510,"angular,docker",Exciting internship opportunity at Cognizant in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,6,large,E-commerce,no,entry,2025-08-22 23:09:02.067531,True
INT_00355,Human Resources Intern,Viacom18,Human Resources,Ghaziabad,4,30544,"trading,kubernetes",Exciting internship opportunity at Viacom18 in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,8,mid,Healthcare,no,entry,2024-11-27 08:19:16.995457,True
INT_00356,UI/UX Design Intern,Jabong,UI/UX Design,Kolkata,8,30434,"sketch,adobe xd","Design intuitive user experiences for Jabong's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,14,large,Media & Entertainment,yes,entry,2025-02-27 22:01:53.250200,True
INT_00357,Consulting Intern,LinkedIn,Consulting,Pune,6,42172,"finance,javascript,project management",Exciting internship opportunity at LinkedIn in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,Real Estate,hybrid,intermediate,2025-01-01 02:27:48.352309,True
INT_00358,Business Analysis Intern,McKinsey,Business Analysis,Kolkata,3,42133,"mysql,digital marketing,aws","Analyze business processes and requirements at McKinsey. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,24,large,Gaming,no,intermediate,2024-12-11 03:23:48.040939,True
INT_00359,Business Analysis Intern,Deloitte,Business Analysis,Chennai,4,44440,"scrum,postgresql","Analyze business processes and requirements at Deloitte. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,13,large,Education,yes,entry,2025-07-13 21:10:40.446750,True
INT_00360,Product Management Intern,Byju's,Product Management,Delhi,4,46750,"penetration testing,seo,digital marketing",Exciting internship opportunity at Byju's in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,17,large,Travel & Tourism,hybrid,entry,2025-04-13 06:23:33.348462,True
INT_00361,Operations Intern,IBM,Operations,Kolkata,6,42965,"adobe xd,javascript",Exciting internship opportunity at IBM in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Gaming,yes,entry,2025-02-27 14:17:48.396421,False
INT_00362,Business Analysis Intern,Spotify,Business Analysis,Kanpur,3,21682,"ethical hacking,deep learning,ios","Analyze business processes and requirements at Spotify. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,3,mid,Manufacturing,yes,intermediate,2025-04-17 03:06:12.594568,True
INT_00363,Consulting Intern,KPMG,Consulting,Thane,4,39454,"ethical hacking,android",Exciting internship opportunity at KPMG in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Finance,hybrid,entry,2024-12-10 21:03:19.040108,True
INT_00364,UI/UX Design Intern,Meta,UI/UX Design,Agra,4,62588,"adobe xd,sketch","Design intuitive user experiences for Meta's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,21,large,Technology,yes,intermediate,2025-06-01 05:04:57.190018,True
INT_00365,Cybersecurity Intern,CRED,Cybersecurity,Bhopal,6,58821,"aws,adobe xd,social media",Exciting internship opportunity at CRED in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Gaming,hybrid,intermediate,2025-06-01 22:07:50.740487,True
INT_00366,Cloud Computing Intern,Groww,Cloud Computing,Agra,6,36256,"linux,jenkins,python",Exciting internship opportunity at Groww in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,2,mid,Gaming,no,entry,2025-06-26 20:18:01.619408,True
INT_00367,Product Management Intern,Cognizant,Product Management,Pimpri-Chinchwad,3,50520,"kubernetes,python,devops",Exciting internship opportunity at Cognizant in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Non-profit,no,entry,2024-10-19 01:22:38.314241,False
INT_00368,Human Resources Intern,Adobe,Human Resources,Kanpur,4,24386,"figma,trading",Exciting internship opportunity at Adobe in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Automotive,no,entry,2024-11-20 10:55:00.897569,True
INT_00369,Machine Learning Intern,Wipro,Machine Learning,Agra,2,25482,"python,data science,sql",Exciting internship opportunity at Wipro in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,18,large,Healthcare,hybrid,entry,2024-10-23 10:54:17.293975,True
INT_00370,Human Resources Intern,Deutsche Bank,Human Resources,Hyderabad,3,18956,"sql,react,azure",Exciting internship opportunity at Deutsche Bank in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,9,mid,Manufacturing,hybrid,entry,2025-06-23 23:02:46.696984,True
INT_00371,Web Development Intern,Byju's,Web Development,Indore,3,14104,"java,python,react","Develop responsive web applications using modern frameworks at Byju's. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,3,mid,E-commerce,hybrid,intermediate,2025-01-14 17:54:35.311775,True
INT_00372,Artificial Intelligence Intern,Wipro,Artificial Intelligence,Agra,6,40820,"statistics,r",Exciting internship opportunity at Wipro in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,18,large,Technology,no,intermediate,2024-09-29 01:47:53.633476,True
INT_00373,UI/UX Design Intern,Amazon India,UI/UX Design,Visakhapatnam,8,53403,"adobe xd,sketch","Design intuitive user experiences for Amazon India's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,23,large,Media & Entertainment,hybrid,entry,2025-02-04 03:13:40.193590,True
INT_00374,Machine Learning Intern,Microsoft,Machine Learning,Pune,2,59748,"sql,r,data science",Exciting internship opportunity at Microsoft in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,17,large,Food & Beverage,yes,intermediate,2025-01-15 17:00:23.300869,True
INT_00375,Graphic Design Intern,Twitter,Graphic Design,Pimpri-Chinchwad,6,15817,"adobe xd,illustrator",Exciting internship opportunity at Twitter in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Gaming,yes,entry,2024-10-03 23:09:51.259431,True
INT_00376,Graphic Design Intern,HDFC Bank,Graphic Design,Bhopal,8,37944,"figma,illustrator",Exciting internship opportunity at HDFC Bank in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,E-commerce,hybrid,entry,2025-07-23 04:01:02.883442,True
INT_00377,Content Writing Intern,Infosys,Content Writing,Patna,3,40036,"digital marketing,seo",Exciting internship opportunity at Infosys in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,19,large,Automotive,no,entry,2025-01-10 10:22:25.882674,False
INT_00378,Consulting Intern,Uber,Consulting,Pimpri-Chinchwad,8,27452,"flutter,android,operations",Exciting internship opportunity at Uber in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,9,mid,Media & Entertainment,no,entry,2025-05-12 20:32:11.187945,False
INT_00379,Web Development Intern,CRED,Web Development,Bhopal,6,30522,"javascript,java,react","Develop responsive web applications using modern frameworks at CRED. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,3,startup,Food & Beverage,yes,entry,2025-08-25 08:29:01.023569,True
INT_00380,Finance Intern,Paytm,Finance,Pimpri-Chinchwad,8,42654,"seo,sql",Exciting internship opportunity at Paytm in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,8,mid,Automotive,no,advanced,2024-10-09 21:45:34.212758,False
INT_00381,Human Resources Intern,ICICI Bank,Human Resources,Kolkata,6,33093,"web development,adobe xd,accounting",Exciting internship opportunity at ICICI Bank in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Gaming,yes,entry,2025-08-24 14:34:25.603981,True
INT_00382,Mobile Development Intern,Google,Mobile Development,Kolkata,8,71953,"nodejs,python,react","Create innovative mobile applications for Google. Work with iOS/Android development, learn mobile UI/UX principles, and contribute to app store releases.",2025-09-23,5,large,Non-profit,yes,entry,2025-09-15 05:24:26.872797,True
